,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
11848,2019-10-01 05:57:09 UTC,cart,5815664,1.48758E+18,,,0.92,555256872,ed2a2db2-a04a-4aeb-b205-804b9e1000ab
11849,2019-10-01 05:57:09 UTC,remove_from_cart,5842115,1.48758E+18,,,0.63,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11850,2019-10-01 05:57:10 UTC,remove_from_cart,5842116,1.48758E+18,,,0.63,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11851,2019-10-01 05:57:10 UTC,remove_from_cart,5842116,1.48758E+18,,,0.63,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11852,2019-10-01 05:57:11 UTC,remove_from_cart,5842111,1.48758E+18,,,0.79,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11853,2019-10-01 05:57:11 UTC,remove_from_cart,5842111,1.48758E+18,,,0.79,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11854,2019-10-01 05:57:12 UTC,cart,5884354,1.48758E+18,,oniq,10.32,443623425,0bc61b76-0250-4bcf-a018-0fc347b9dfe7
11855,2019-10-01 05:57:12 UTC,view,5786489,1.65846E+18,,uskusi,3.97,538878666,8b00cbb5-9422-4248-b7e6-b63269c2d14b
11856,2019-10-01 05:57:12 UTC,remove_from_cart,5842109,1.48758E+18,,,0.79,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11857,2019-10-01 05:57:12 UTC,remove_from_cart,5842109,1.48758E+18,,,0.79,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11858,2019-10-01 05:57:13 UTC,remove_from_cart,5842110,1.48758E+18,,,0.79,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11859,2019-10-01 05:57:13 UTC,remove_from_cart,5842110,1.48758E+18,,,0.79,518737007,53b560ca-85c3-407f-91ec-25bb63a7483e
11860,2019-10-01 05:57:14 UTC,cart,5773606,1.48758E+18,,irisk,1.59,546304229,13965d78-fd57-4660-bd87-dceacc74402e
